id	taxonID	acceptedNameUsageID	scientificName	kingdom	class	order	family	genus	subgenus	specificEpithet	taxonRank	scientificNameAuthorship	taxonomicStatus	taxonRemarks	modified	language	informationWithheld	references
5792	5792		Chlorissa cloraria (Hübner, 1813)	Animalia	Insecta	Lepidoptera		Chlorissa		cloraria	species	(Hübner, 1813)	accepted	An extremely rare and very local species in Belgium. Hitherto known only from two isolated locations in LG and LX.	2021-03-24	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/5792
6249	6249		Epinotia maculana (Fabricius, 1775)	Animalia	Insecta	Lepidoptera		Epinotia		maculana	species	(Fabricius, 1775)	accepted	A very rare species in Belgium.	2021-03-28	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/6249
5500	5500		Apotomis sororculana (Zetterstedt, 1839)	Animalia	Insecta	Lepidoptera		Apotomis		sororculana	species	(Zetterstedt, 1839)	accepted	A rare but widespread species throughout Belgium.	2020-02-06	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/5500
5379	5379		Allophyes oxyacanthae (Linnaeus, 1758)	Animalia	Insecta	Lepidoptera		Allophyes		oxyacanthae	species	(Linnaeus, 1758)	accepted	A not so common species in the northern part of Belgium and fairly common in the southern part.	2020-05-14	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/5379
3957	3957		Hylaea fasciaria (Linnaeus, 1758)	Animalia	Insecta	Lepidoptera		Hylaea		fasciaria	species	(Linnaeus, 1758)	accepted	A rather common species throughout Belgium.	2021-04-15	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/3957
4151	4151		Mompha divisella Herrich-Schäffer, 1854	Animalia	Insecta	Lepidoptera	Momphidae	Mompha	Mompha	divisella	species	Herrich-Schäffer, 1854	accepted	A very rare and local species in Belgium.	2021-04-12	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/4151
4449	4449		Phaulernis fulviguttella (Zeller, 1839)	Animalia	Insecta	Lepidoptera		Phaulernis		fulviguttella	species	(Zeller, 1839)	accepted	A very rare and local species in Belgium, not often observed.	2021-04-17	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/4449
5447	5447		Anticlea derivata (Denis & Schiffermüller, 1775)	Animalia	Insecta	Lepidoptera		Anticlea		derivata	species	(Denis & Schiffermüller, 1775)	accepted	A rare species in Belgium, mainly observed in the southern provinces but also at the coast area.	2021-04-29	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/5447
6295	6295		Eriocrania sparrmannella (Bosc, 1791)	Animalia	Insecta	Lepidoptera	Eriocraniidae	Eriocrania		sparrmannella	species	(Bosc, 1791)	accepted	A fairly common species throughout Belgium.	2021-02-19	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/6295
5797	5797		Chlorissa viridata (Linnaeus, 1758)	Animalia	Insecta	Lepidoptera		Chlorissa		viridata	species	(Linnaeus, 1758)	accepted	A very rare and local species in Belgium, most records are from the southern provinces and from the Kempen.	2021-03-24	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/5797
5320	5320		Agonopterix assimilella (Treitschke, 1832)	Animalia	Insecta	Lepidoptera		Agonopterix		assimilella	species	(Treitschke, 1832)	accepted	A rare species in most areas of Belgium, though widespread all over the country.	2021-03-05	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/5320
5237	5237		Acleris hyemana (Haworth, 1811)	Animalia	Insecta	Lepidoptera		Acleris		hyemana	species	(Haworth, 1811)	accepted	A very local and rare species in Belgium. Most observations in the Kempen area.	2021-03-06	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/5237
5908	5908		Coleophora idaeella Hofmann, 1869	Animalia	Insecta	Lepidoptera	Coleophoridae	Coleophora		idaeella	species	Hofmann, 1869	accepted	In Belgium this species was mentioned for the first time in 2009 and is, up to now, only found in LG.	2021-03-25	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/5908
4445	4445		Phaneta pauperana (Duponchel, 1843)	Animalia	Insecta	Lepidoptera		Phaneta		pauperana	species	(Duponchel, 1843)	accepted	A very rare species in the southern part of Belgium, not often recorded. Seen for the first time in Flanders in April 2020.	2020-04-13	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/4445
4194	4194		Mythimna pallens (Linnaeus, 1758)	Animalia	Insecta	Lepidoptera		Mythimna	Mythimna	pallens	species	(Linnaeus, 1758)	accepted	A common species throughout Belgium.	2020-08-26	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/4194
5910	5910		Coleophora juncicolella Stainton, 1851	Animalia	Insecta	Lepidoptera	Coleophoridae	Coleophora		juncicolella	species	Stainton, 1851	accepted	A very rare species in Belgium.	2021-03-25	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/5910
5538	5538		Argyresthia glabratella (Zeller, 1847)	Animalia	Insecta	Lepidoptera	Argyresthiidae	Argyresthia	Blastotere	glabratella	species	(Zeller, 1847)	accepted	A very rare species so far, but probably more common than we think.	2021-03-02	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/5538
5419	5419		Anchinia cristalis (Scopoli, 1763)	Animalia	Insecta	Lepidoptera		Anchinia		cristalis	species	(Scopoli, 1763)	accepted	A very rare and local species in the southern part of Belgium. Where the food plant grows in large densities, the species can be fairly common as larvae, especially in the Calestienne area, but adults are not often encountered.	2021-03-05	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/5419
4195	4195		Mythimna pudorina (Denis & Schiffermüller, 1775)	Animalia	Insecta	Lepidoptera		Mythimna	Mythimna	pudorina	species	(Denis & Schiffermüller, 1775)	accepted	A rather rare species throughout Belgium, mainly observed in the Kempen.	2020-08-25	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/4195
7296	7296	4583	Plutella maculipennis (Curtis, 1832)	Animalia	Insecta	Lepidoptera	Plutellidae	Plutella		maculipennis	species	(Curtis, 1832)	synonym		2019-10-09	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/7296
