id	vernacularName	language
3864	Kleine sint-jansvlinder	nl
3865	Blazenstruikbladroller	nl
3866	Brede haakspiegelmot	nl
3867	Hokjespeulbladroller	nl
3868	Zwarte rozenbladroller	nl
3869	Dennenappelbladroller	nl
3870	Diana-uil	nl
3870	Grüne Eicheneule	de
3870	La Runique	fr
3870	Merveille du Jour	en
3871	Loogkruidlichtmot	nl
3872	Double-striped Pug	en
3872	La Fausse-Eupithécie	fr
3872	Rotgebänderter Blütenspanner	de
3872	Zwartkamdwergspanner	nl
3873	Alismabladroller	nl
3874	Bleke kamillebladroller	nl
3875	Ratelaarbladroller	nl
3876	Zwartstipbladroller	nl
3877	Populierenscheutboorder	nl
3878	Loofboomscheutboorder	nl
3879	Rode populierenbladroller	nl
3880	Grijze populierenbladroller	nl
3881	Zwarte populierenbladroller	nl
3882	Witsnuitpopulierenbladroller	nl
3883	Achat-Eulenspinner	de
3883	Buff Arches	en
3883	La Râtissée	fr
3883	Vuursteenvlinder	nl
3884	La Noctuelle dentine	fr
3884	Schaaruil	nl
3884	Shears	en
3884	Zahneule	de
3885	La Noctuelle parée	fr
3885	Weißgefleckte Nelkeneule	de
3885	White Spot	en
3885	Witvlek-silene-uil	nl
3886	Gewone silene-uil	nl
3886	La Noctuelle capsulaire	fr
3886	Lichtnelken-Eule	de
3886	Lychnis	en
3887	La Noctuelle de l'Oeillet	fr
3887	Varied Coronet	en
3887	Weißbinden-Nelkeneule	de
3887	Witband-silene-uil	nl
3888	Gevlekte silene-uil	nl
3888	La Noctuelle saupoudrée	fr
3888	Marbled Coronet	en
3888	Marmorierte Nelkeneule	de
3889	Dunkelgelbe Nelkeneule	de
3889	La Dianthécie bleuâtre	fr
3889	Oranjevleksilene-uil	nl
3890	La Noctuelle carpophage	fr
3890	Leimkraut-Nelkeneule	de
3890	Tawny Shears	en
3890	Variabele silene-uil	nl
3891	Duke of Burgundy Fritillary	en
3891	Lucine	fr
3891	Schlüsselblumen-Würfelfalter	de
3891	Sleutelbloemvlinder	nl
3892	Zwervende zwartschubmot	nl
3893	Zwartschubmot	nl
3894	Bruine molmboorder	nl
3895	Draak	nl
3895	Le Dragon	fr
3895	Pergament-Zahnspinner	de
3895	Tawny Prominent	en
3896	Broad-barred White	en
3896	Hasenlattich-Eule	de
3896	La Noctuelle sereine	fr
3896	Tweekleurige uil	nl
3897	Kompassla-uil	nl
3897	Kompasslattich-Eule	de
3897	La Noctuelle dysodée	fr
3897	Small Ranunculus	en
3898	Gewone witvlakbladroller	nl
3899	Grote witvlakbladroller	nl
3900	Plum Tortrix	en
3900	Pruimwitvlakbladroller	nl
3901	Pinguintje	nl
3902	Lichte rietpalpmot	nl
3903	Rietpalpmot	nl
3904	Cirkeltjespalpmot	nl
3905	Baumwoll-Kapseleule	de
3905	Katoendaguil	nl
3905	L'Armigère	fr
3905	Scarce Bordered Sallow	en
3906	Berkenzilvervlekmot	nl
3906	Birken-Erzglanzfalter	de
3907	Heidedaguil	nl
3907	L'Héliothide de la Spergulaire	fr
3907	Shoulder-striped Clover	en
3907	Warneckes Heidemoor-Sonneneule	de
3908	Bleke daguil	nl
3908	Eastern Bordered Straw	en
3908	La Nubigère	fr
3909	Bilsenkraut-Blüteneule	de
3909	Bordered Straw	en
3909	La Noctuelle peltigère	fr
3909	Vlekdaguil	nl
3910	Elzenzilvervlekmot	nl
3910	Schwarzerlen-Erzglanzfalter	de
3911	Roestmot	nl
3912	Eikenzilvervlekmot	nl
3913	Karden-Sonneneule	de
3913	La Noctuelle de la Cardère	fr
3913	Lichte daguil	nl
3913	Marbled Clover	en
3914	Brandplekmot	nl
3915	Donderkruidvedermot	nl
3916	Roomkleurige vedermot	nl
3917	Alsemvedermot	nl
3918	Bijvoetvedermot	nl
3918	Braunfleckige Beifuß-Federmotte	de
3919	Kruiskruidvedermot	nl
3920	Gevlekte vedermot	nl
3921	Broad-bordered Hawkmoth	en
3921	Glasvleugelpijlstaart	nl
3921	Hummelschwärmer	de
3921	Le Sphinx gazé, le Sphinx du Chèvrefeuille	fr
3922	Hommelvlinder	nl
3922	Le Sphinx-Bourdon, le Sphinx de la Scabieuse	fr
3922	Narrow-bordered Hawkmoth	en
3922	Skabiosenschwärmer	de
3923	Common Emerald	en
3923	Gebüsch-Grünspanner	de
3923	Kleine zomervlinder	nl
3923	La Phalène sillonnée	fr
3924	L'Hémithée printanière	fr
3924	Small Emerald	en
3924	Tere zomervlinder	nl
3924	Waldreben-Grünspanner	de
3925	Ghost Moth	en
3925	Hopfen-Wurzelbohrer	de
3925	Hopwortelboorder	nl
3925	Hépiale du houblon	fr
3926	Zilvervlekpurpermot	nl
3927	Bogenlinien-Spannereule	de
3927	Boogsnuituil	nl
3927	L'Herminie grise	fr
3927	Small Fan-foot	en
3928	Braungestreifte Spannereule	de
3928	L'Herminie de la Ronce	fr
3928	Schaduwsnuituil	nl
3928	Shaded Fan-foot	en
3929	Comma	fr
3929	Komma-Dickkopffalter	de
3929	Kommavlinder	nl
3929	Silver-spotted Skipper	en
3930	Kleine slakrups	nl
3930	Triangle	en
3931	Large Chequered Skipper	en
3931	Miroir	fr
3931	Spiegeldikkopje	nl
3931	Spiegelfleck-Dickkopffalter	de
3932	Großer Weinschwärmer	de
3932	Le Sphinx Phoenix	fr
3932	Silver-striped Hawkmoth	en
3932	Wingerdpijlstaart	nl
3933	Grote boswachter	nl
3933	Großer Waldportier	de
3933	Sylvandre	fr
3933	Woodland Grayling	en
3934	Agreste	fr
3934	Heivlinder	nl
3934	Ockerbindiger Samtfalter	de
3934	The Grayling	en
3935	Faune	fr
3935	Kleine Rostbinde	de
3935	Kleine heivlinder	nl
3935	Tree Grayling	en
3936	Brown house moth	en
3936	Bruine huismot	nl
3936	Samenmotte	de
3937	Kruiskruidmot	nl
3938	Smalleweegbreemot	nl
3939	Hellbraune Staubeule	de
3939	L'Ambiguë	fr
3939	Vine's Rustic	en
3939	Zuidelijke stofuil	nl
3940	Egale stofuil	nl
3940	Graubraune Staubeule	de
3940	La Noctuelle du Pissenlit	fr
3940	Rustic	en
3941	Gelbbraune Staubeule	de
3941	Gewone stofuil	nl
3941	La Noctuelle de la Morgeline	fr
3941	Uncertain	en
3942	Graue Felsflur-Staubeule	de
3942	Grijze stofuil	nl
3942	La Noctuelle arrosée	fr
3942	Sprinkled Rustic	en
3943	Gelbgraue Felsflur-Staubeule	de
3943	La Caradrine de la Surelle, la Noctuelle flatteuse	fr
3943	Powdered Rustic	en
3943	Twijfelstofuil	nl
3944	Grijze bosrankspanner	nl
3944	Küchenschellen-Waldrebenspanner	de
3944	L'Horisme des Pulsatilles, la Phalène aqueuse	fr
3945	Flussauen-Waldrebenspanner	de
3945	L'Horisme jumeau	fr
3945	Tweelingbosrankspanner	nl
3946	Egale bosrankspanner	nl
3946	Einfarbiger Waldrebenspanner	de
3946	Fern	en
3946	L'Horisme élégant, L'Essuyée	fr
3947	Bruine bosrankspanner	nl
3947	L'Horisme rayé	fr
3947	Small Waved Umber	en
3947	Zweifarbiger Waldrebenspanner	de
3948	Grote berberisspanner	nl
3948	Großer Berberitzenspanner	de
3948	La Phalène couleur de cerf	fr
3948	Scarce Tissue	en
3949	Geel spannertje	nl
3949	Gelbgestreifter Erlen-Spanner	de
3949	L'Acidalie jaunâtre, La Flammèche	fr
3949	Small Yellow Wave	en
3950	Heidelbeer-Palpenspanner	de
3950	July Highflyer	en
3950	La Larentie lavée	fr
3950	Variabele spanner	nl
3951	Erlenhain-Blattspanner	de
3951	Groenbandspanner	nl
3951	La Larentie arrosée	fr
3951	May Highflyer	en
3952	Aardappelstengelboorder	nl
3952	La Noctuelle de la Pomme de Terre	fr
3952	Markeule	de
3952	Rosy Rustic	en
3953	Butterbur	en
3953	Groot-hoefbladboorder	nl
3953	La Noctuelle du Grand-Taconnet	fr
3953	Pestwurzeule	de
3954	La Larentie rubescente	fr
3954	Roodachtige spanner	nl
3954	Ruddy Highflyer	en
3954	Weiden-Palpenspanner	de
3955	Braungestreifter Erlen-Spanner	de
3955	Elzenspannertje	nl
3955	La Cidarie sylvestre	fr
3955	Waved Carpet	en
3956	Gegolfde spanner	nl
3956	La Phalène ondulée	fr
3956	Scallop Shell	en
3956	Wellenspanner	de
3957	Barred Red	en
3957	La Métrocampe verte, la Bilieuse	fr
3957	Rode dennenspanner	nl
3957	Zweibindiger Nadelwald-Spanner	de
3958	Le Sphinx de l'Euphorbe	fr
3958	Spurge Hawkmoth	en
