id	taxonID	acceptedNameUsageID	scientificName	kingdom	class	order	family	genus	subgenus	specificEpithet	taxonRank	scientificNameAuthorship	taxonomicStatus	taxonRemarks	modified	language	informationWithheld	references
2685	2685		Hemiphlebia Selys, 1868	Animalia	Insecta	Odonata	Hemiphlebiidae	Hemiphlebia Selys, 1868			genus	Selys, 1868	accepted		2021-08-31T11:28:02Z	en		https://www2.pugetsound.edu/academics/academic-resources/slater-museum/biodiversity-resources/dragonflies/world-odonata-list2/
2684	2684		Hemiphlebia mirabilis Selys, 1868	Animalia	Insecta	Odonata	Hemiphlebiidae	Hemiphlebia Selys, 1868		mirabilis	species	Selys, 1868	accepted		2021-08-31T11:28:02Z	en		https://www2.pugetsound.edu/academics/academic-resources/slater-museum/biodiversity-resources/dragonflies/world-odonata-list2/
553	553		Archilestes Selys, 1862	Animalia	Insecta	Odonata	Lestidae	Archilestes Selys, 1862			genus	Selys, 1862	accepted		2021-08-31T11:28:02Z	en		https://www2.pugetsound.edu/academics/academic-resources/slater-museum/biodiversity-resources/dragonflies/world-odonata-list2/
545	545		Archilestes californicus McLachlan, 1895	Animalia	Insecta	Odonata	Lestidae	Archilestes Selys, 1862		californicus	species	McLachlan, 1895	accepted		2021-08-31T11:28:02Z	en		https://www2.pugetsound.edu/academics/academic-resources/slater-museum/biodiversity-resources/dragonflies/world-odonata-list2/
546	546		Archilestes chocoanus Pérez-Gutiérrez, 2012	Animalia	Insecta	Odonata	Lestidae	Archilestes Selys, 1862		chocoanus	species	Pérez-Gutiérrez, 2012	accepted		2021-08-31T11:28:02Z	en		https://www2.pugetsound.edu/academics/academic-resources/slater-museum/biodiversity-resources/dragonflies/world-odonata-list2/
547	547		Archilestes exoletus (Hagen in Selys, 1862)	Animalia	Insecta	Odonata	Lestidae	Archilestes Selys, 1862		exoletus	species	(Hagen in Selys, 1862)	accepted		2021-08-31T11:28:02Z	en		https://www2.pugetsound.edu/academics/academic-resources/slater-museum/biodiversity-resources/dragonflies/world-odonata-list2/
7371	7371	547	Lestes exoleta Hagen in Selys, 1862	Animalia	Insecta	Odonata	Lestidae	Archilestes Selys, 1862		exoleta	species	Hagen, 1862	synonym		2021-08-31T11:28:02Z	en		https://www2.pugetsound.edu/academics/academic-resources/slater-museum/biodiversity-resources/dragonflies/world-odonata-list2/
548	548		Archilestes grandis (Rambur, 1842)	Animalia	Insecta	Odonata	Lestidae	Archilestes Selys, 1862		grandis	species	(Rambur, 1842)	accepted		2021-08-31T11:28:02Z	en		https://www2.pugetsound.edu/academics/academic-resources/slater-museum/biodiversity-resources/dragonflies/world-odonata-list2/
7372	7372	548	Lestes grandis Rambur, 1842	Animalia	Insecta	Odonata	Lestidae	Archilestes Selys, 1862		grandis	species	Rambur, 1842	synonym		2021-08-31T11:28:02Z	en		https://www2.pugetsound.edu/academics/academic-resources/slater-museum/biodiversity-resources/dragonflies/world-odonata-list2/
549	549		Archilestes guayaraca De Marmels, 1982	Animalia	Insecta	Odonata	Lestidae	Archilestes Selys, 1862		guayaraca	species	De Marmels, 1982	accepted		2021-08-31T11:28:02Z	en		https://www2.pugetsound.edu/academics/academic-resources/slater-museum/biodiversity-resources/dragonflies/world-odonata-list2/
550	550		Archilestes latialatus Donnelly, 1981	Animalia	Insecta	Odonata	Lestidae	Archilestes Selys, 1862		latialatus	species	Donnelly, 1981	accepted		2021-08-31T11:28:02Z	en		https://www2.pugetsound.edu/academics/academic-resources/slater-museum/biodiversity-resources/dragonflies/world-odonata-list2/
551	551		Archilestes neblina Garrison, 1982	Animalia	Insecta	Odonata	Lestidae	Archilestes Selys, 1862		neblina	species	Garrison, 1982	accepted		2021-08-31T11:28:02Z	en		https://www2.pugetsound.edu/academics/academic-resources/slater-museum/biodiversity-resources/dragonflies/world-odonata-list2/
